transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
07-11-23 8:00,subway,193,104 St (A),Queens,metrocard,Metrocard - Other,6,0,40.68171,-73.837685,POINT (-73.837685 40.68171)
07-11-23 10:00,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,18,0,40.781433,-73.972145,POINT (-73.972145 40.781433)
07-11-23 19:00,subway,282,21 St (G),Queens,omny,OMNY - Full Fare,51,1,40.744064,-73.94972,POINT (-73.94972 40.744064)
07-11-23 20:00,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,omny,OMNY - Seniors & Disability,1,0,40.781433,-73.972145,POINT (-73.972145 40.781433)
07-11-23 10:00,subway,378,Woodlawn (4),Bronx,metrocard,Metrocard - Seniors & Disability,9,1,40.886036,-73.87875,POINT (-73.87875 40.886036)
07-11-23 9:00,subway,182,Ralph Av (C),Brooklyn,omny,OMNY - Seniors & Disability,1,0,40.67882,-73.920784,POINT (-73.920784 40.67882)
07-11-23 12:00,subway,110,Forest Av (M),Queens,omny,OMNY - Full Fare,57,5,40.704422,-73.903076,POINT (-73.903076 40.704422)
07-11-23 18:00,subway,268,"65 St (M,R)",Queens,metrocard,Metrocard - Full Fare,19,0,40.74967,-73.89845,POINT (-73.89845 40.74967)
07-11-23 19:00,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,metrocard,Metrocard - Students,2,0,40.758663,-73.98133,POINT (-73.98133 40.758663)
07-11-23 16:00,subway,42,"Prospect Park (B,Q,S)",Brooklyn,metrocard,Metrocard - Other,25,0,40.661613,-73.96225,POINT (-73.96225 40.661613)
07-11-23 6:00,subway,136,New Lots Av (L),Brooklyn,metrocard,Metrocard - Students,1,0,40.658733,-73.89923,POINT (-73.89923 40.658733)
07-11-23 4:00,subway,426,"E 180 St (2,5)",Bronx,metrocard,Metrocard - Seniors & Disability,3,3,40.841892,-73.87349,POINT (-73.87349 40.841892)
07-11-23 14:00,subway,236,"Bergen St (F,G)",Brooklyn,metrocard,Metrocard - Other,9,1,40.686146,-73.99086,POINT (-73.99086 40.686146)
07-11-23 14:00,subway,188,"Euclid Av (A,C)",Brooklyn,metrocard,Metrocard - Fair Fare,21,2,40.675377,-73.87211,POINT (-73.87211 40.675377)
07-11-23 6:00,subway,382,Fordham Rd (4),Bronx,metrocard,Metrocard - Unlimited 7-Day,82,0,40.862804,-73.90103,POINT (-73.90103 40.862804)
07-11-23 3:00,subway,180,Kingston-Throop Avs (C),Brooklyn,omny,OMNY - Full Fare,2,0,40.67992,-73.94086,POINT (-73.94086 40.67992)
07-11-23 18:00,subway,158,"86 St (C,B)",Manhattan,omny,OMNY - Seniors & Disability,3,0,40.78587,-73.96892,POINT (-73.96892 40.78587)
07-11-23 12:00,subway,186,Van Siclen Av (C),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,4,0,40.67271,-73.89036,POINT (-73.89036 40.67271)
07-11-23 8:00,subway,238,"Smith-9 Sts (F,G)",Brooklyn,metrocard,Metrocard - Full Fare,60,10,40.67358,-73.99596,POINT (-73.99596 40.67358)
07-11-23 13:00,subway,423,"Allerton Av (2,5)",Bronx,metrocard,Metrocard - Unlimited 30-Day,6,0,40.865463,-73.867355,POINT (-73.867355 40.865463)
07-11-23 9:00,subway,109,Fresh Pond Rd (M),Queens,metrocard,Metrocard - Fair Fare,16,2,40.706184,-73.895874,POINT (-73.895874 40.706184)
07-11-23 8:00,subway,144,Dyckman St (A),Manhattan,metrocard,Metrocard - Unlimited 30-Day,88,0,40.86549,-73.92727,POINT (-73.92727 40.86549)
07-11-23 9:00,subway,377,3 Av-138 St (6),Bronx,metrocard,Metrocard - Seniors & Disability,8,0,40.810474,-73.92614,POINT (-73.92614 40.810474)
07-11-23 20:00,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Other,1,0,40.722855,-74.00628,POINT (-74.00628 40.722855)
07-11-23 12:00,subway,383,183 St (4),Bronx,metrocard,Metrocard - Unlimited 30-Day,16,0,40.858406,-73.90388,POINT (-73.90388 40.858406)
07-11-23 12:00,subway,293,Van Cortlandt Park-242 St (1),Bronx,omny,OMNY - Full Fare,41,1,40.889248,-73.89858,POINT (-73.89858 40.889248)
07-11-23 9:00,subway,224,57 St (F),Manhattan,metrocard,Metrocard - Unlimited 7-Day,37,0,40.763973,-73.97745,POINT (-73.97745 40.763973)
07-11-23 13:00,subway,107,"Broad St (J,Z)",Manhattan,omny,OMNY - Full Fare,71,3,40.706474,-74.011055,POINT (-74.011055 40.706474)
07-11-23 4:00,subway,266,"Elmhurst Av (M,R)",Queens,metrocard,Metrocard - Seniors & Disability,1,0,40.742455,-73.88202,POINT (-73.88202 40.742455)
07-11-23 9:00,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,21,0,40.728252,-74.00536,POINT (-74.00536 40.728252)
07-11-23 11:00,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Students,1,0,40.72028,-73.99391,POINT (-73.99391 40.72028)
07-11-23 20:00,subway,293,Van Cortlandt Park-242 St (1),Bronx,metrocard,Metrocard - Other,8,0,40.889248,-73.89858,POINT (-73.89858 40.889248)
07-11-23 19:00,subway,192,Rockaway Blvd (A),Queens,metrocard,Metrocard - Unlimited 7-Day,28,0,40.680428,-73.84386,POINT (-73.84386 40.680428)
07-11-23 8:00,subway,156,"103 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,80,0,40.796093,-73.96146,POINT (-73.96146 40.796093)
07-11-23 21:00,subway,156,"103 St (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,1,0,40.796093,-73.96146,POINT (-73.96146 40.796093)
07-11-23 21:00,subway,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,metrocard,Metrocard - Seniors & Disability,11,8,40.70215,-73.80111,POINT (-73.80111 40.70215)
07-11-23 16:00,subway,236,"Bergen St (F,G)",Brooklyn,omny,OMNY - Full Fare,313,0,40.686146,-73.99086,POINT (-73.99086 40.686146)
07-11-23 16:00,subway,284,Nassau Av (G),Brooklyn,omny,OMNY - Full Fare,256,3,40.724636,-73.95128,POINT (-73.95128 40.724636)
07-11-23 6:00,subway,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,metrocard,Metrocard - Seniors & Disability,52,16,40.700485,-73.80797,POINT (-73.80797 40.700485)
07-11-23 11:00,subway,280,Jamaica-Van Wyck (E),Queens,metrocard,Metrocard - Students,1,0,40.702564,-73.81686,POINT (-73.81686 40.702564)
07-11-23 17:00,subway,270,"46 St (M,R)",Queens,metrocard,Metrocard - Students,5,0,40.756313,-73.91333,POINT (-73.91333 40.756313)
07-11-23 14:00,subway,286,Broadway (G),Brooklyn,metrocard,Metrocard - Students,5,0,40.706093,-73.95031,POINT (-73.95031 40.706093)
07-11-23 21:00,subway,154,"116 St (C,B)",Manhattan,metrocard,Metrocard - Other,3,0,40.805084,-73.95488,POINT (-73.95488 40.805084)
07-11-23 7:00,subway,375,Cypress Av (6),Bronx,omny,OMNY - Full Fare,27,0,40.805367,-73.91404,POINT (-73.91404 40.805367)
