transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers
02/26/2022 06:00:00 PM,B46+,metrocard,Metrocard - Students,0.0,0.0
02/26/2022 05:00:00 PM,B46,omny,OMNY - Full Fare,75.746,18.368
02/26/2022 06:00:00 AM,BX12,metrocard,Metrocard - Fair Fare,9.991,5.986
02/26/2022 07:00:00 AM,BX10,metrocard,Metrocard - Unlimited 7-Day,45.018,0.0
02/26/2022 07:00:00 PM,BX40,metrocard,Metrocard - Fair Fare,5.002,0.999
02/26/2022 08:00:00 AM,BX39,metrocard,Metrocard - Unlimited 30-Day,42.017,0.0
02/26/2022 01:00:00 PM,M106,omny,OMNY - Other,0.0,0.0
02/26/2022 05:00:00 PM,M11,metrocard,Metrocard - Full Fare,63.062,13.002
02/26/2022 11:00:00 AM,M106,metrocard,Metrocard - Unlimited 7-Day,0.093,0.0
02/26/2022 02:00:00 AM,M96,omny,OMNY - Full Fare,1.001,0.0
02/26/2022 04:00:00 AM,Q06,metrocard,Metrocard - Full Fare,9.02,1.001
02/26/2022 10:00:00 AM,Q06,metrocard,Metrocard - Other,3.004,0.0
